id	x	y	riistajalajiNimi
168	452767.341	6902674.057	Valkohntpeura
169	343164.37	6695869.73	Valkohntpeura
170	343031.781	6695930.779	Valkohntpeura
171	504072.18	6943334.345	Metskauris
172	215017.177	6872523.852	Valkohntpeura
173	224574.166	6724832.783	Valkohntpeura
174	343142.515	6695880.202	Hirvi
175	332022.44	6661034.382	Metskauris
176	287769.098	6912690.911	Hirvi
177	377540.832	6708897.197	Valkohntpeura
178	244475.393	6689834.167	Metskauris
179	327031.016	6671037.836	Valkohntpeura
180	212782.958	6681885.919	Metskauris
181	472450.561	6955590.761	Metskauris
182	267486.898	6836453.216	Metskauris
183	502321.013	6714584.378	Metskauris
184	262778.09	6734965.533	Hirvi
185	643688.573	6980137.129	Hirvi
186	311597.982	6802771.524	Valkohntpeura
187	379724.658	6685388.676	Metskauris
188	203207.08	6792267.388	Metskauris
189	363042.867	7398391.135	Metskauris
190	239649.654	6720015.67	Valkohntpeura
191	373721.259	6743750.999	Valkohntpeura
192	301004.705	6789750.697	Valkohntpeura
193	348323.151	6817153.686	Metskauris
194	383980.298	6708754.455	Valkohntpeura
195	320562.36	6739938.737	Valkohntpeura
196	320508.393	6740008.778	Metskauris
197	262670.579	6801711.565	Valkohntpeura
198	330227.215	6792584.925	Valkohntpeura
199	337910.072	6700336.419	Valkohntpeura
200	484825.334	6744639.376	Metskauris
201	219635.374	6881563.627	Valkohntpeura
202	229499.314	6715620.552	Valkohntpeura
203	409770.525	6726325.977	Valkohntpeura
204	541578.157	6923402.475	Hirvi
205	258184.786	6707618.22	Valkohntpeura
206	362565.486	6733270.138	Metskauris
207	404697.625	6722619.274	Valkohntpeura
208	235490.863	6699719.331	Metskauris
209	362891.381	6696930.637	Valkohntpeura
210	239276.407	6705010.459	Metskauris
211	379353.3	6774233.241	Hirvi
212	300760.703	6697839.467	Valkohntpeura
213	340650.525	6785032.429	Valkohntpeura
214	375889.379	6704916.578	Hirvi
215	444034.701	6754895.25	Hirvi
216	312052.24	6781246.984	Valkohntpeura
217	288416.948	6698520.861	Metskauris
